ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE	LEVEL
142	僕	仆	pʰok3	puk2	僕人		1
143	仇	仇	ʃɐu21	sau4	仇恨		1
144	仇	仇	kɐu21	gau4	姓		1
145	今	今	kɐm53	gam1			1
146	介	介	kai55	gaai3			1
147	仍	仍	ŋeŋ21	nging4			1
148	从	从	tʃœŋ21	zoeng4			1
149	從	从	tʃœŋ21	zoeng4			1
150	侖	仑	lɐn21	lan4			1
151	崙	仑	lɐn21	lan4			1
152	倉	仓	tʃʰaŋ53	caang1			1
153	仔	仔	tʃi33	zi2	仔細		1
154	仔	仔	tʃai33	zaai2	仔女，本字崽		1
155	他	他	tʰa53	taa1			1
156	仗	仗	tʃiɐŋ55	ziang3	打仗		1
157	仗	仗	tʃiɐŋ22	ziang6	倚仗，炮仗		1
158	付	付	fu22	fu6			1
159	仙	仙	ɬin53	slin1			1
160	代	代	tai22	daai6			1
161	令	令	leŋ22	ling6			1
162	以	以	ji24	ji5			1
163	儀	仪	ȵi21	nji4			1
164	們	们	mun21	mun4			1
165	仰	仰	ŋiɐŋ24	ngiang5			1
166	仲	仲	tʃoŋ22	zung6	副詞，還	(又)	1
167	仲	仲	tʃœŋ22	zoeng6	伯仲；副詞，還，本字重		1
168	件	件	kin22	gin6		(又)	1
169	件	件	kyn22	gyun6			1
170	价	价	ka55	gaa3			1
171	價	价	ka55	gaa3			1
172	任	任	ȵɐm21	njam4	姓		1
173	任	任	ȵɐm22	njam6	責任		1
174	份	份	fɐn22	fan6			1
175	仿	仿	foŋ33	fung2			1
176	倣	仿	foŋ33	fung2			1
177	企	企	kʰi33	ki2	企業		1
178	伊	伊	ji53	ji1			1
179	伍	伍	ŋu24	ngu5		(老派)	1
180	伍	伍	ŋ̍24	ng5			1
181	伏	伏	fœk2	foek6			1
182	伐	伐	fat2	faat6			1
183	休	休	jɐu53	jau1			1
184	眾	众	tʃœŋ55	zoeng3			1
185	衆	众	tʃœŋ55	zoeng3			1
186	优	优	jɐu53	jau1			1
187	優	优	jɐu53	jau1			1
188	伙	伙	hu33	hu2			1
189	夥	伙	hu33	hu2			1
190	會	会	wɐi22	wai6			1
191	傘	伞	ɬan55	slaan3			1
192	偉	伟	wɐi33	wai2			1
193	傳	传	tʃyn22	zyun6	傳記		1
194	傳	传	tʃyn21	zyun4	傳達		1
195	傷	伤	ʃiɐŋ53	siang1			1
196	倫	伦	lɐn21	lan4			1
197	偽	伪	wɐi22	wai6			1
198	僞	伪	wɐi22	wai6			1
199	伯	伯	piɐk3	biak2			1
200	估	估	ku33	gu2			1
201	伴	伴	pun24	bun5			1
202	伶	伶	leŋ21	ling4			1
203	伸	伸	tʃʰɐn53	can1	伸懶腰，又作抻/胂字	(語)	1
204	伸	伸	ʃɐn53	san1			1
