ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE	LEVEL
2740	煉	炼	lin22	lin6			1
2741	爍	烁	ʃiɐk3	siak2			1
2742	爛	烂	lan22	laan6			1
2743	烈	烈	lyt24	lyut5		(又)	1
2744	烈	烈	lit2	lit6			1
2745	烘	烘	hœŋ53	hoeng1			1
2746	烙	烙	lak3	laak2			1
2747	燭	烛	tʃœk3	zoek2			1
2748	煙	烟	jin53	jin1		(又)	1
2749	煙	烟	jyn53	jyun1			1
2750	菸	烟	jin53	jin1		(又)	1
2751	菸	烟	jyn53	jyun1			1
2752	烤	烤	kʰau33	kaau2			1
2753	煩	烦	fan21	faan4			1
2754	燒	烧	ʃiu53	siu1			1
2755	燙	烫	tʰaŋ55	taang3			1
2756	熱	热	ȵit24	njit5			1
2757	烹	烹	pʰɐŋ53	pang1			1
2758	焉	焉	jin53	jin1	焉能		1
2759	焉	焉	jin21	jin4	心不在焉		1
2760	焊	焊	han22	haan6			1
2761	釬	焊	han22	haan6	同焊字		1
2762	銲	焊	han22	haan6	同焊字		1
2763	煥	焕	wɐn22	wan6			1
2764	焚	焚	fɐn21	fan4			1
2765	焦	焦	tʃiu53	ziu1			1
2766	焰	焰	jim22	jim6			1
2767	然	然	jin21	jin4		(又)	1
2768	然	然	jyn21	jyun4			1
2769	煌	煌	hoŋ21	hung4			1
2770	煎	煎	tʃin53	zin1			1
2771	煞	煞	ʃat3	saat2			1
2772	煤	煤	mui21	mui4			1
2773	照	照	tʃiu55	ziu3			1
2774	煑	煮	tʃy33	zyu2	同煮字		1
2775	煮	煮	tʃy33	zyu2			1
2776	煽	煽	ʃin55	sin3			1
2777	熄	熄	ɬek3	slik2			1
2778	熊	熊	jœŋ21	joeng4			1
2779	熏	熏	wɐn53	wan1			1
2780	燻	熏	wɐn53	wan1			1
2781	熔	熔	jœŋ21	joeng4			1
2782	熙	熙	hi53	hi1			1
2783	熟	熟	ʃœk2	soek6			1
2784	熬	熬	ŋau21	ngaau4			1
2785	燃	燃	jin21	jin4		(又)	1
2786	燃	燃	jyn21	jyun4			1
2787	燕	燕	jin55	jin3	燕子	(又)	1
2788	燕	燕	jin53	jin1	燕京	(又)	1
2789	燕	燕	jyn55	jyun3	燕子		1
2790	燕	燕	jyn53	jyun1	燕京		1
2791	燥	燥	tʃʰau55	caau3			1
2792	爆	爆	pau22	baau6			1
2793	爪	爪	ȵau33	njaau2		(白)	1
2794	爪	爪	tʃau33	zaau2			1
2795	爬	爬	pa21	baa4			1
2796	愛	爱	∅ai55	aai3			1
2797	爵	爵	tʃiɐk3	ziak2			1
2798	父	父	fu22	fu6			1
2799	爺	爷	je21	je4			1
2800	爸	爸	pa55	baa3			1
2801	爹	爹	te53	de1			1
2802	爽	爽	ʃaŋ33	saang2			1
2803	片	片	pʰɛn33	pen2	<動>片肉；<名>尿片	(白)	1
2804	片	片	pʰin55	pin3			1
2805	版	版	pan33	baan2			1
2806	牌	牌	pai21	baai4			1
2807	牙	牙	ȵa21	njaa4			1
2808	牛	牛	ȵɐu21	njau4			1
2809	牡	牡	mɐu24	mau5		(又)	1
2810	牡	牡	mau22	maau6			1
2811	牢	牢	lau21	laau4			1
2812	牧	牧	mœk24	moek5			1
2813	物	物	fɐt24	fat5		(老派)	1
2814	物	物	mɐt24	mat5			1
2815	牲	牲	ʃiɐŋ53	siang1			1
2816	牽	牵	hin53	hin1		(又)	1
2817	牽	牵	hyn53	hyun1			1
2818	特	特	tɐk2	dak6			1
2819	犧	牺	hi53	hi1			1
2820	犀	犀	ɬɐi53	slai1			1
2821	犁	犁	lɐi21	lai4			1
2822	犂	犁	lɐi21	lai4	同犁字		1
2823	犬	犬	hyn33	hyun2			1
2824	犯	犯	fan22	faan6		(又)	1
2825	犯	犯	fam22	faam6	犯人		1
2826	犯	犯	fam24	faam5	犯法		1
2827	狀	状	tʃaŋ22	zaang6			1
2828	猶	犹	jɐu21	jau4			1
2829	狂	狂	kʷaŋ21	gwaang4			1
2830	狽	狈	pui55	bui3			1
2831	狐	狐	hu21	hu4			1
2832	狗	狗	kɐu33	gau2			1
2833	獰	狞	neŋ21	ning4			1
2834	狠	狠	hɐn33	han2			1
2835	狡	狡	kau33	gaau2			1
2836	獨	独	tœk2	doek6			1
2837	狹	狭	jap3	jaap2		(又)	1
2838	狹	狭	hap3	haap2			1
2839	獅	狮	ʃɐi53	sai1			1
2840	猙	狰	tʃɐŋ53	zang1			1
2841	獄	狱	ȵœk24	njoek5			1
2842	狸	狸	li21	li4			1
2843	狼	狼	laŋ21	laang4			1
2844	獵	猎	lip24	lip5			1
2845	猖	猖	tʃʰiɐŋ53	ciang1			1
2846	猛	猛	miɐŋ24	miang5		(老派)	1
2847	猛	猛	maŋ24	maang5			1
2848	猜	猜	tʃʰai53	caai1			1
2849	猩	猩	ɬeŋ53	sling1			1
2850	豬	猪	tʃy53	zyu1			1
2851	貓	猫	mau55	maau3		(文)	1
2852	貓	猫	mɛu55	meu3		(白)	1
2853	蝟	猬	wɐi22	wai6			1
2854	獻	献	hyn55	hyun3		(又)	1
2855	獻	献	hin55	hin3			1
2856	猴	猴	hɐu21	hau4			1
2857	猾	猾	wat2	waat6			1
2858	猿	猿	jyn21	jyun4			1
2859	玄	玄	jyn21	jyun4			1
2860	率	率	ɬɐt3	slat2	率領		1
2861	率	率	lɐt24	lat5	效率		1
2862	玉	玉	ȵy22	njyu6	玉米，本字御米	(語)	1
2863	玉	玉	ȵœk24	njoek5	玉石		1
2864	王	王	hoŋ21	hung4	王朝		1
2865	王	王	hoŋ22	hung6	王天下		1
2866	玖	玖	kɐu33	gau2			1
2867	瑪	玛	ma24	maa5			1
2868	玩	玩	wan22	waan6		(又)	1
2869	玩	玩	wun22	wun6			1
2870	翫	玩	wan22	waan6		(又)	1
2871	翫	玩	wun22	wun6			1
2872	玫	玫	mui21	mui4			1
2873	環	环	wan21	waan4			1
2874	現	现	jin22	jin6		(又)	1
2875	現	现	jyn22	jyun6			1
2876	玲	玲	leŋ21	ling4			1
2877	玷	玷	tim55	dim3			1
2878	玻	玻	po53	bo1			1
2879	珊	珊	ʃan53	saan1			1
2880	珍	珍	tʃɐn53	zan1			1
2881	珠	珠	tʃy53	zyu1			1
2882	班	班	pan53	baan1			1
2883	球	球	kɐu21	gau4			1
2884	琅	琅	laŋ21	laang4	琳琅，琅琊		1
2885	理	理	li24	li5			1
2886	琉	琉	lɐu21	lau4			1
2887	瑣	琐	ɬu33	slu2			1
2888	琢	琢	tʃœk3	zoek2		(又)	1
2889	琢	琢	tʃok3	zuk2		(又)	1
2890	琢	琢	tœk3	doek2			1
2891	琳	琳	lɐm21	lam4			1
2892	琴	琴	kɐm21	gam4			1
2893	瓊	琼	keŋ21	ging4			1
2894	瑙	瑙	nau24	naau5			1
2895	瑞	瑞	ʃui22	sui6			1
2896	瑟	瑟	ɬɐt3	slat2	琴瑟；瑟瑟，落葉聲，又作摵摵/槭槭		1
2897	瑰	瑰	kui53	gui1	瑰寶	(又)	1
2898	瑰	瑰	kʷɐi55	gwai3	玫瑰		1
2899	瑰	瑰	kʷɐi53	gwai1	瑰寶		1
2900	璃	璃	li21	li4			1
2901	璧	璧	pek3	bik2			1
2902	瓜	瓜	kʷa53	gwaa1			1
2903	瓢	瓢	pɛu21	beu4		(白)	1
2904	瓢	瓢	mai53	maai1	～瓜，瓠子，古壯字⿰罢瓜，水瓢	(訓)	1
2905	瓢	瓢	piu21	biu4	水瓢		1
2906	瓣	瓣	pan22	baan6			1
2907	瓤	瓤	naŋ21	naang4			1
2908	瓦	瓦	wa24	waa5			1
2909	瓶	瓶	peŋ21	bing4			1
2910	瓷	瓷	tʃi21	zi4			1
2911	甘	甘	kam53	gaam1			1
2912	甚	甚	ʃɐm22	sam6			1
2913	甜	甜	tim21	dim4			1
2914	生	生	ʃiɐŋ53	siang1			1
2915	甥	甥	ʃiɐŋ53	siang1			1
2916	用	用	jœŋ22	joeng6			1
2917	甩	甩	lɐt5	lat3	脫落	(訓)	1
2918	甩	甩	ʃai24	saai5	甩手；扔	(語)	1
2919	甫	甫	pʰu33	pu2			1
2920	田	田	tin21	din4			1
2921	由	由	jɐu21	jau4			1
2922	甲	甲	kap3	gaap2			1
2923	申	申	ʃɐn53	san1			1
2924	電	电	tin22	din6			1
2925	男	男	nam21	naam4			1
2926	甸	甸	tin22	din6			1
2927	畫	画	wa22	waa6			1
2928	暢	畅	tʃʰaŋ55	caang3			1
2929	界	界	kai55	gaai3			1
2930	畏	畏	wɐi55	wai3			1
2931	畔	畔	pun22	bun6			1
2932	留	留	lɐu21	lau4			1
2933	畜	畜	tʃʰœk3	coek2			1
2934	略	略	liɐk24	liak5			1
2935	番	番	fan53	faan1	幾番		1
2936	番	番	pʰun53	pun1	番禺		1
2937	疇	畴	tʃɐu21	zau4			1
2938	畸	畸	ki53	gi1		(又)	1
2939	畸	畸	kʰi53	ki1			1
2940	疆	疆	kʰiɐŋ53	kiang1			1
2941	疏	疏	ʃu53	su1	疏忽		1
2942	疏	疏	ʃu55	su3	注疏		1
2943	疑	疑	ni21	ni4			1
2944	療	疗	liu21	liu4			1
2945	疙	疙	kɐt2	gat6	疙𤶸，活結，引申爲摳門	(語)	1
2946	疙	疙	ŋɐt2	ngat6			1
2947	疚	疚	kɐu55	gau3			1
2948	瘧	疟	nɐk24	nak5		(又)	1
2949	瘧	疟	ȵɐk24	njak5			1
2950	疤	疤	pe21	be4	麻～，麻子	(語)	1
2951	疤	疤	pa53	baa1			1
2952	疫	疫	wek24	wik5			1
2953	瘡	疮	tʃʰaŋ53	caang1			1
2954	瘋	疯	fœŋ53	foeng1			1
2955	疲	疲	pi21	bi4			1
2956	疹	疹	tʃɐn33	zan2			1
2957	疼	疼	tɐŋ21	dang4			1
2958	疾	疾	tʃɐt2	zat6			1
2959	病	病	peŋ22	bing6			1
2960	症	症	tʃeŋ55	zing3			1
2961	癥	症	tʃeŋ53	zing1			1
2962	痊	痊	tʃyn21	zyun4			1
2963	痒	痒	jiɐŋ24	jiang5	同癢字		1
2964	痒	痒	jiɐŋ21	jiang4	病		1
2965	癢	痒	jiɐŋ24	jiang5			1
2966	痕	痕	hɐn21	han4	傷痕；癢，古壯字痕		1
2967	痘	痘	tɐu22	dau6			1
2968	痛	痛	tʰœŋ55	toeng3			1
2969	痢	痢	li22	li6			1
2970	瘓	痪	wɐn22	wan6			1
2971	痰	痰	tam21	daam4			1
2972	痴	痴	tʃʰi53	ci1			1
2973	癡	痴	tʃʰi53	ci1			1
2974	痹	痹	pi55	bi3			1
2975	痺	痹	pi55	bi3			1
2976	瘟	瘟	wɐn53	wan1			1
2977	瘤	瘤	lɐu21	lau4			1
2978	瘦	瘦	ʃɐu55	sau3			1
2979	瘩	瘩	tap3	daap2			1
2980	癟	瘪	pit2	bit6	癟三，癟陷		1
2981	癱	瘫	tʰan53	taan1		(又)	1
2982	癱	瘫	tʰan33	taan2			1
2983	瘸	瘸	kʷe21	gwe4			1
2984	癮	瘾	jɐn24	jan5			1
2985	癌	癌	ŋam21	ngaam4			1
2986	癬	癣	ɬin33	slin2		(又)	1
2987	癬	癣	ɬyn33	slyun2			1
2988	癸	癸	kʷɐi55	gwai3			1
2989	登	登	tɐŋ53	dang1			1
2990	白	白	piɐk2	biak6			1
2991	百	百	piɐk3	biak2			1
2992	皁	皂	tʃau22	zaau6			1
2993	皂	皂	tʃau22	zaau6			1
2994	的	的	tek3	dik2			1
2995	皆	皆	kai53	gaai1			1
2996	皇	皇	hoŋ21	hung4			1
2997	皓	皓	hau22	haau6			1
2998	皖	皖	wan24	waan5		(又)	1
2999	皖	皖	wun24	wun5			1
3000	皮	皮	pi21	bi4			1
3001	皺	皱	ȵɐu55	njau3		(白)	1
3002	皺	皱	tʃɐu55	zau3			1
3003	皿	皿	mɐn24	man5		(又)	1
3004	皿	皿	meŋ24	ming5			1
3005	盆	盆	pun21	bun4			1
3006	盈	盈	ŋeŋ21	nging4			1
3007	益	益	∅ek3	ik2			1
3008	盞	盏	tʃan33	zaan2			1
3009	鹽	盐	jim21	jim4			1
3010	監	监	kam55	gaam3	太監		1
3011	監	监	kam53	gaam1	監視		1
3012	盒	盒	hap2	haap6			1
3013	盔	盔	hui53	hui1		(又)	1
3014	盔	盔	kʰui53	kui1			1
3015	蓋	盖	kai55	gaai3			1
3016	盜	盗	tau22	daau6			1
3017	盤	盘	pun21	bun4			1
3018	盛	盛	ʃeŋ22	sing6	旺盛；姓		1
3019	盛	盛	ʃeŋ21	sing4	盛滿		1
3020	盟	盟	mɐŋ21	mang4			1
3021	目	目	mœk24	moek5			1
3022	盯	盯	teŋ53	ding1			1
3023	盲	盲	miɐŋ21	miang4		(老派)	1
3024	盲	盲	mœŋ21	moeng4			1
3025	直	直	tʃek2	zik6			1
3026	相	相	ɬiɐŋ55	sliang3	相貌		1
3027	相	相	ɬiɐŋ53	sliang1	互相		1
3028	盹	盹	tɐn22	dan6			1
3029	盼	盼	pʰan55	paan3			1
3030	盾	盾	tɐn22	dan6			1
3031	省	省	ɬeŋ33	sling2	反省		1
3032	省	省	ʃiɐŋ33	siang2	省份		1
3033	眉	眉	mi21	mi4			1
3034	看	看	han55	haan3	看見		1
3035	看	看	han53	haan1	看守		1
3036	眞	真	tʃɐn53	zan1			1
3037	真	真	tʃɐn53	zan1			1
3038	眠	眠	min21	min4			1
3039	眨	眨	jap3	jaap2		(白)	1
3040	眨	眨	tʃap3	zaap2			1
3041	眯	眯	mɐi55	mai3	眯眼		1
3042	眯	眯	mɐi24	mai5	塵物入眼		1
3043	眯	眯	mi55	mi3	笑眯眯		1
3044	眶	眶	kʷʰaŋ53	kwaang1			1
3045	眷	眷	kyn55	gyun3			1
3046	眼	眼	ȵan24	njaan5			1
3047	着	着	tʃiɐk2	ziak6	着涼，睡着		1
3048	着	着	tʃiɐk3	ziak2	穿着，着衫		1
3049	睜	睁	tʃɐŋ53	zang1			1
3050	睞	睐	lai22	laai6			1
3051	睛	睛	tʃeŋ53	zing1			1
3052	睡	睡	ʃui22	sui6			1
3053	督	督	tœk3	doek2			1
3054	睦	睦	mœk24	moek5			1
3055	睫	睫	tʃyt2	zyut6		(又)	1
3056	睫	睫	tʃit2	zit6			1
3057	睬	睬	tʃʰai33	caai2			1
3058	睹	睹	tu33	du2			1
3059	瞄	瞄	miu53	miu1	瞄一眼	(白)	1
3060	瞄	瞄	miu21	miu4	瞄準		1
3061	瞅	瞅	tʃʰɐu33	cau2			1
3062	瞎	瞎	jat3	jaat2			1
3063	瞞	瞒	mon21	mon4		(又)	1
3064	瞞	瞒	mun21	mun4			1
3065	瞧	瞧	tʃiu21	ziu4			1
3066	矚	瞩	tʃœk3	zoek2			1
3067	瞪	瞪	tɐŋ22	dang6			1
3068	瞬	瞬	ʃɐn55	san3			1
3069	瞭	瞭	liu24	liu5	瞭解		1
3070	瞭	瞭	liu21	liu4	瞭望		1
3071	瞳	瞳	tœŋ21	doeng4			1
3072	瞻	瞻	tʃim53	zim1			1
3073	矗	矗	tʃʰœk3	coek2			1
3074	矛	矛	mau21	maau4			1
3075	矢	矢	ʃi33	si2		(又)	1
3076	矢	矢	tʃʰi33	ci2			1
3077	矣	矣	ji24	ji5			1
3078	知	知	tʃi53	zi1			1
3079	矩	矩	ky33	gyu2			1
3080	矯	矫	kiu33	giu2			1
3081	短	短	tun33	dun2			1
3082	矮	矮	∅ɐi33	ai2			1
3083	石	石	ʃek2	sik6			1
3084	礬	矾	fan21	faan4			1
3085	礦	矿	kʷʰaŋ55	kwaang3			1
3086	碼	码	ma24	maa5			1
3087	砂	砂	ʃa53	saa1			1
3088	砌	砌	tʃʰɐi55	cai3			1
3089	砍	砍	kʰam33	kaam2			1
3090	研	研	ȵin21	njin4		(又)	1
3091	研	研	ŋan21	ngaan4	碾、砑，與扤對轉	(語)	1
3092	研	研	ŋɛn21	ngen4	碾、砑，與扤對轉	(又)	1
3093	研	研	nin53	nin1	研究	(又)	1
3094	研	研	ȵyn21	njyun4	研究，鑽研		1
3095	磚	砖	tʃyn53	zyun1			1
3096	硯	砚	jin22	jin6		(又)	1
3097	硯	砚	jyn22	jyun6			1
3098	砰	砰	pʰɐŋ53	pang1		(又)	1
3099	砰	砰	pʰeŋ53	ping1			1
3100	破	破	pʰu55	pu3			1
3101	砸	砸	tʃap3	zaap2	讀同匝		1
3102	礫	砾	lek24	lik5			1
3103	礎	础	tʃʰu33	cu2			1
3104	硅	硅	kʷɐi53	gwai1			1
3105	碩	硕	ʃek2	sik6			1
3106	硝	硝	ɬiu53	sliu1			1
3107	硫	硫	lɐu21	lau4			1
3108	硬	硬	ŋiɐŋ22	ngiang6			1
3109	确	确	kʰak3	kaak2			1
3110	確	确	kʰɐk5	kak3	犖[lɐk5]～，路不平，說話結巴，俗作㪐㩿	(語)	1
3111	確	确	kʰak3	kaak2			1
3112	碌	碌	lok5	luk3	量詞；花哩花碌	(語)	1
3113	碌	碌	lœk24	loek5			1
3114	礙	碍	ŋai22	ngaai6			1
3115	碎	碎	ɬui55	slui3			1
3116	碑	碑	pɐi53	bai1			1
3117	碗	碗	wun33	wun2			1
3118	碘	碘	tin33	din2		(書)	1
3119	碘	碘	tim33	dim2		(習)	1
3120	碟	碟	tip2	dip6			1
3121	碧	碧	pek3	bik2			1
3122	碰	碰	pʰœŋ55	poeng3			1
3123	堿	碱	kan33	gaan2		(文)	1
3124	堿	碱	kɛn33	gen2		(白)	1
3125	碱	碱	kan33	gaan2		(文)	1
3126	碱	碱	kɛn33	gen2		(白)	1
3127	碳	碳	tʰan55	taan3			1
3128	碾	碾	nin24	nin5		(文)	1
3129	碾	碾	tʃin33	zin2		(書)	1
3130	碾	碾	nɛn33	nen2		(白)	1
3131	磁	磁	tʃi21	zi4			1
3132	磅	磅	pœŋ22	boeng6	過磅	(又)	1
3133	磅	磅	paŋ22	baang6	過磅		1
3134	磅	磅	paŋ21	baang4	磅礡		1
3135	磊	磊	lui24	lui5			1
3136	磕	磕	hap3	haap2	磕碰，磕頭，與扻對轉		1
3137	磨	磨	mu21	mu4	磨刀	(動)	1
3138	磨	磨	mu22	mu6	石磨	(名)	1
3139	磷	磷	lɐn21	lan4			1
3140	礁	礁	tʃiu53	ziu1			1
3141	示	示	ʃi22	si6			1
3142	禮	礼	lɐi24	lai5			1
3143	社	社	ʃe24	se5			1
3144	祀	祀	tʃi22	zi6			1
3145	祈	祈	ki21	gi4			1
3146	祖	祖	tʃu33	zu2			1
3147	祝	祝	tʃœk3	zoek2			1
3148	神	神	ʃɐn21	san4			1
3149	祟	祟	ʃui22	sui6			1
3150	祠	祠	tʃi21	zi4			1
3151	祥	祥	tʃiɐŋ21	ziang4			1
3152	票	票	pʰiu55	piu3			1
3153	祭	祭	tʃɐi55	zai3			1
3154	禱	祷	tau33	daau2			1
3155	禍	祸	wu22	wu6			1
3156	稟	禀	pɐn33	ban2	稟告		1
3157	稟	禀	lɐm24	lam5	同廩字		1
3158	禁	禁	kɐm55	gam3	禁止		1
3159	禁	禁	kʰɐm53	kam1	耐久，耐受		1
3160	祿	禄	lœk24	loek5			1
3161	禪	禅	ʃim21	sim4	禪宗，禪師		1
3162	禪	禅	ʃin22	sin6	禪讓		1
3163	福	福	fœk3	foek2			1
3164	禹	禹	jy24	jyu5			1
3165	离	离	li21	li4	同離字		1
3166	離	离	li21	li4			1
3167	禽	禽	kɐm21	gam4			1
3168	禾	禾	hu21	hu4			1
3169	秀	秀	ɬɐu55	slau3			1
3170	俬	私	ɬi53	sli1			1
3171	私	私	ɬi53	sli1			1
3172	禿	秃	tʰok3	tuk2			1
3173	稈	秆	kan33	gaan2			1
3174	秉	秉	peŋ33	bing2			1
3175	秋	秋	tʃʰɐu53	cau1			1
3176	鞦	秋	tʃʰɐu53	cau1			1
3177	种	种	tʃœŋ21	zoeng4	姓		1
3178	种	种	tʃœŋ55	zoeng3	同種字		1
3179	种	种	tʃœŋ33	zoeng2	同種字		1
3180	種	种	tʃœŋ55	zoeng3	種植		1
3181	種	种	tʃœŋ33	zoeng2	種類		1
3182	科	科	hu53	hu1			1
3183	秒	秒	miu24	miu5			1
3184	祕	秘	pi55	bi3			1
3185	秘	秘	pi55	bi3			1
3186	租	租	tʃu53	zu1			1
3187	秤	秤	tʃʰeŋ55	cing3			1
3188	秦	秦	tʃɐn21	zan4			1
3189	秧	秧	jiɐŋ53	jiang1			1
3190	秩	秩	tit2	dit6			1
3191	積	积	tʃek3	zik2			1
3192	稱	称	tʃʰeŋ55	cing3	稱心		1
3193	稱	称	tʃʰeŋ53	cing1	稱呼		1
3194	秸	秸	kai53	gaai1			1
3195	稭	秸	kai53	gaai1			1
3196	移	移	ji21	ji4			1
3197	穢	秽	wɐi55	wai3			1
3198	稀	稀	hi53	hi1			1
3199	程	程	tʃeŋ21	zing4			1
3200	稍	稍	ʃau53	saau1			1
3201	稅	税	ʃui55	sui3			1
3202	税	税	ʃui55	sui3			1
3203	稚	稚	tʃi22	zi6			1
3204	稠	稠	tʃɐu21	zau4			1
3205	穩	稳	wɐn33	wan2			1
3206	稻	稻	tau22	daau6			1
3207	稼	稼	ka55	gaa3			1
3208	稽	稽	kʰɐi53	kai1			1
3209	稿	稿	kau33	gaau2			1
3210	穆	穆	mœk24	moek5			1
3211	穗	穗	ʃui22	sui6			1
3212	繐	穗	ʃui22	sui6			1
3213	穴	穴	jyt2	jyut6			1
3214	究	究	kɐu55	gau3			1
3215	窮	穷	kœŋ21	goeng4			1
3216	空	空	hœŋ53	hoeng1	空虛		1
3217	空	空	hœŋ55	hoeng3	空缺		1
3218	穿	穿	tʃʰyn53	cyun1			1
3219	突	突	tœk5	doek3	～頭，奔兒頭	(語)	1
3220	突	突	tok5	duk3	噘[ty53]～，疙瘩	(語)	1
3221	突	突	tɐt2	dat6	突出		1
3222	竊	窃	tʃʰit3	cit2			1
3223	窄	窄	tʃiɐk3	ziak2			1
3224	竅	窍	kʰiu55	kiu3			1
3225	窯	窑	jiu21	jiu4			1
3226	窒	窒	tʃɐt3	zat2	塞；瓶塞	(語)	1
3227	窒	窒	tʃɐt2	zat6			1
3228	窖	窖	kau55	gaau3			1
3229	窗	窗	tʃʰaŋ53	caang1			1
3230	窘	窘	kʷɐn24	gwan5			1
3231	竄	窜	tʃʰun55	cun3			1
3232	窩	窝	∅o53	o1			1
3233	窟	窟	wɐt3	wat2			1
3234	窺	窥	kʷʰɐi53	kwai1			1
3235	窿	窿	lœŋ53	loeng1			1
3236	立	立	lɐp24	lap5			1
3237	豎	竖	ʃy22	syu6			1
3238	站	站	tʃam22	zaam6			1
3239	競	竞	keŋ55	ging3			1
3240	竟	竟	keŋ55	ging3			1
3241	章	章	tʃiɐŋ53	ziang1			1
3242	竣	竣	tʃɐn55	zan3			1
3243	童	童	tœŋ21	doeng4			1
3244	竭	竭	kʰyt3	kyut2		(又)	1
3245	竭	竭	kɐt2	gat6	（粥）稠，古字渴，俗字𠹳	(語)	1
3246	竭	竭	kʰit3	kit2			1
3247	端	端	tun53	dun1			1
3248	竹	竹	tʃœk3	zoek2			1
3249	竿	竿	kan33	gaan2			1
3250	筍	笋	ɬɐn33	slan2			1
3251	笑	笑	ɬiu55	sliu3			1
3252	筆	笔	pɐt3	bat2			1
3253	笙	笙	ʃiɐŋ53	siang1			1
3254	笛	笛	tek2	dik6			1
3255	符	符	fu21	fu4			1
3256	笨	笨	pɐn22	ban6			1
3257	第	第	tɐi22	dai6			1
3258	籠	笼	lœŋ21	loeng4	蒸籠，燈籠		1
3259	籠	笼	lœŋ24	loeng5	籠統		1
3260	籠	笼	lœŋ55	loeng3	箱籠		1
3261	等	等	tɐŋ33	dang2			1
3262	筋	筋	kɐn53	gan1			1
3263	筏	筏	fat2	faat6			1
3264	筐	筐	kʷʰaŋ53	kwaang1			1
3265	筑	筑	tʃʰœk3	coek2			1
3266	築	筑	tʃʰœk3	coek2			1
3267	筒	筒	tœŋ21	doeng4			1
3268	答	答	tap3	daap2			1
3269	策	策	tʃʰiɐk3	ciak2			1
3270	篩	筛	ʃɐi53	sai1			1
3271	箏	筝	tʃɐŋ53	zang1			1
3272	筷	筷	wai55	waai3			1
3273	籌	筹	tʃɐu21	zau4			1
3274	簽	签	tʃʰim53	cim1			1
3275	籤	签	tʃʰim53	cim1			1
3276	簡	简	kan33	gaan2			1
3277	箕	箕	ki53	gi1			1
3278	算	算	ɬun55	slun3			1
3279	管	管	kun33	gun2			1
3280	籮	箩	la21	laa4	籮斗	(白)	1
3281	籮	箩	lo21	lo4			1
3282	簫	箫	ɬiu53	sliu1			1
3283	箭	箭	tʃin55	zin3			1
3284	箱	箱	ɬiɐŋ53	sliang1			1
3285	篇	篇	pʰɛn53	pen1		(白)	1
3286	篇	篇	pʰin53	pin1			1
3287	簍	篓	lɐu24	lau5			1
3288	篡	篡	tʃʰyn55	cyun3		(又)	1
3289	篡	篡	tʃʰon55	con3			1
3290	籃	篮	lam21	laam4			1
3291	篱	篱	le21	le4	<名>漁網；<動>～魚，網魚；古壯字𦀎	(語)	1
3292	篱	篱	li21	li4			1
3293	籬	篱	le21	le4	<名>漁網；<動>～魚，網魚；古壯字𦀎	(語)	1
3294	籬	篱	li21	li4			1
3295	篷	篷	pœŋ21	boeng4			1
3296	簇	簇	tʃʰœk3	coek2			1
3297	簧	簧	hoŋ21	hung4			1
3298	簸	簸	po33	bo2	簸三萬，一種遊戲	(又)	1
3299	簸	簸	pʰu55	pu3	簸箕		1
3300	簿	簿	pu22	bu6			1
3301	籍	籍	tʃek2	zik6			1
3302	米	米	mɐi24	mai5			1
3303	類	类	lui22	lui6			1
3304	籽	籽	tʃi33	zi2			1
3305	粉	粉	fɐn33	fan2			1
3306	粒	粒	nɐp5	nap3			1
3307	粗	粗	tʃʰu53	cu1			1
3308	粘	粘	nim53	nim1	粘貼；舊同黏字		1
3309	粘	粘	tʃim53	zim1	粘米		1
3310	粟	粟	ɬœk3	sloek2			1
3311	粵	粤	jyt24	jyut5			1
3312	粥	粥	tʃœk3	zoek2			1
3313	糞	粪	fɐn55	fan3			1
3314	粮	粮	liɐŋ21	liang4			1
3315	糧	粮	liɐŋ21	liang4			1
3316	粱	粱	liɐŋ21	liang4			1
3317	粹	粹	tʃʰui55	cui3			1
3318	精	精	tʃeŋ53	zing1			1
3319	糊	糊	hu21	hu4			1
3320	餬	糊	hu21	hu4			1
3321	糕	糕	kau53	gaau1			1
3322	糖	糖	taŋ21	daang4			1
3323	醣	糖	taŋ21	daang4			1
3324	糙	糙	tʃʰau55	caau3			1
3325	糟	糟	tʃau53	zaau1			1
3326	糠	糠	haŋ53	haang1			1
3327	糯	糯	nu22	nu6			1
3328	係	系	hi55	hi3		(又)	1
3329	係	系	hɐi22	hai6			1
3330	系	系	hi55	hi3		(又)	1
3331	系	系	hɐi22	hai6			1
3332	繫	系	hi55	hi3		(又)	1
3333	繫	系	hɐi22	hai6			1
3334	紊	紊	mɐn24	man5		(又)	1
3335	紊	紊	mɐn22	man6			1
3336	素	素	ɬu55	slu3			1
3337	索	索	ɬak3	slaak2			1
3338	緊	紧	kɐn33	gan2			1
3339	紫	紫	tʃi33	zi2			1
3340	累	累	lui22	lui6	勞累，連累		1
3341	累	累	lui24	lui5	積累		1
3342	累	累	lui21	lui4	果實累累		1
3343	纍	累	lui21	lui4	果實纍纍		1
3344	絮	絮	ɬy55	slyu3			1
3345	繁	繁	fan21	faan4			1
3346	糾	纠	kɐu33	gau2		(書)	1
3347	糾	纠	tɐu33	dau2	俗從斗作紏	(習)	1
3348	紅	红	hœŋ21	hoeng4	紅色		1
3349	紅	红	kœŋ53	goeng1	女紅		1
3350	縴	纤	hin53	hin1		(又)	1
3351	縴	纤	hyn53	hyun1			1
